dark_pastel_green,green,#03c03c,3,192,60
dark_pastel_purple,purple,#966fd6,150,111,214
dark_pastel_red,red,#c23b22,194,59,34
dark_pink,pink,#e75480,231,84,128
dark_powder_blue,blue,#039,0,51,153
dark_raspberry,red,#872657,135,38,87
dark_red,red,#8b0000,139,0,0
dark_salmon,brown,#e9967a,233,150,122
dark_scarlet,red,#560319,86,3,25
dark_sea_green,green,#8fbc8f,143,188,143
dark_sienna,black,#3c1414,60,20,20
dark_slate_blue,blue,#483d8b,72,61,139
dark_slate_gray,gray,#2f4f4f,47,79,79
dark_spring_green,green,#177245,23,114,69
dark_tan,green,#918151,145,129,81
dark_tangerine,orange,#ffa812,255,168,18
dark_taupe,black,#483c32,72,60,50
dark_terra_cotta,brown,#cc4e5c,204,78,92
dark_turquoise,blue,#00ced1,0,206,209
dark_violet,purple,#9400d3,148,0,211
dark_yellow,yellow,#9b870c,155,135,12
dartmouth_green,green,#00703c,0,112,60
davy_s_grey,gray,#555,85,85,85
debian_red,red,#d70a53,215,10,83
deep_carmine,red,#a9203e,169,32,62
deep_carmine_pink,pink,#ef3038,239,48,56
deep_carrot_orange,orange,#e9692c,233,105,44
deep_cerise,purple,#da3287,218,50,135
deep_champagne,red,#fad6a5,250,214,165
deep_chestnut,brown,#b94e48,185,78,72
deep_coffee,brown,#704241,112,66,65
deep_fuchsia,red,#c154c1,193,84,193
deep_jungle_green,green,#004b49,0,75,73
deep_lilac,purple,#95b,153,85,187
deep_magenta,purple,#c0c,204,0,204
deep_peach,pink,#ffcba4,255,203,164
deep_pink,pink,#ff1493,255,20,147
deep_ruby,red,#843f5b,132,63,91
deep_saffron,orange,#f93,255,153,51
deep_sky_blue,blue,#00bfff,0,191,255
deep_tuscan_red,red,#66424d,102,66,77
denim,blue,#1560bd,21,96,189
desert,brown,#c19a6b,193,154,107
desert_sand,white,#edc9af,237,201,175
dim_gray,gray,#696969,105,105,105
dodger_blue,blue,#1e90ff,30,144,255
dogwood_rose,red,#d71868,215,24,104
dollar_bill,green,#85bb65,133,187,101
